Transaction ID,Date,Account Type,Category,Description,Debit Amount,Credit Amount,Balance,Department,Vendor/Client,Invoice Number,Payment Method
TXN10018,13-08-2024, Expenses,Miscellaneous,Invoice payment,2926,8077,5151,Operations,SCEPTER,2896,Bank Transfer
TXN10019,25-07-2023, Revenue,Sales Revenue,Service charge,2728,2873,145,Finance,GOOGLE,2776,Credit Card
TXN10020,04-12-2023,Assets,Marketing,Service charge,4418,3991,-427,HR,SCEPTER,2551,Cash
TXN10021,12-03-2025, Liabilities,Utilities,Loan repayment,1484,6688,5204,Operations,GOOGLE,3578,Cash
TXN10022,15-07-2024, Liabilities,Utilities,Monthly payment,4865,2821,-2044,Finance,PRIME-TECH,2811,Bank Transfer
TXN10023,10-03-2024, Revenue,Miscellaneous,Invoice payment,1259,2833,1574,Finance,SCEPTER,2062,Credit Card
TXN10024,29-08-2023, Liabilities,Payroll,Service charge,3050,3877,827,Sales,ASCEND,2959,Credit Card
TXN10025,10-10-2024, Expenses,Marketing,Monthly payment,2460,6437,3977,HR,PRIME-TECH,2413,Credit Card
TXN10026,02-07-2024,Assets, Rent,Loan repayment,671,7644,6973,HR,SCEPTER,3851,Cash
TXN10027,14-01-2025,Assets,Sales Revenue,Invoice payment,747,2811,2064,Sales,PRIME-TECH,3908,Credit Card
TXN10028,25-09-2024, Revenue,Utilities,Monthly payment,1152,6525,5373,Finance,GOOGLE,2591,Cash
TXN10029,04-02-2025, Revenue,Loans,Invoice payment,2825,3446,621,Finance,ASCEND,2145,Credit Card
TXN10030,16-04-2024, Liabilities,Payroll,Invoice payment,4214,6560,2346,Operations,SCEPTER,3785,Cash
TXN10031,25-04-2023,Assets,Utilities,Monthly payment,1564,8327,6763,Finance,PRIME-TECH,3301,Credit Card
TXN10032,17-06-2024,Assets,Miscellaneous,Invoice payment,4809,9336,4527,Finance,PRIME-TECH,3166,Bank Transfer
TXN10033,21-03-2024, Liabilities,Sales Revenue,Monthly payment,697,3709,3012,Finance,PRIME-TECH,2726,Cash
TXN10034,07-11-2023, Revenue, Rent,Loan repayment,2093,4553,2460,Operations,SCEPTER,3022,Credit Card
TXN10035,03-07-2023, Revenue,Utilities,Invoice payment,3098,3084,-14,Operations,ASCEND,3686,Credit Card
TXN10036,28-11-2023, Revenue,Miscellaneous,Service charge,1545,5221,3676,Operations,ASCEND,3262,Cash
TXN10037,24-12-2024,Assets,Taxes,Invoice payment,2719,6553,3834,Sales,SCEPTER,3643,Credit Card
TXN10038,22-05-2024, Expenses,Miscellaneous,Monthly payment,4985,6569,1584,HR,SCEPTER,3212,Bank Transfer
TXN10039,06-01-2025, Liabilities, Rent,Invoice payment,3112,9493,6381,Sales,ASCEND,3468,Bank Transfer
TXN10040,13-09-2024, Liabilities,Utilities,Monthly payment,667,3337,2670,Sales,SCEPTER,2362,Cash
TXN10041,04-12-2024, Liabilities,Taxes,Invoice payment,484,4129,3645,Operations,PRIME-TECH,3320,Cash
TXN10042,17-07-2023,Assets,Utilities,Monthly payment,4144,6919,2775,Finance,PRIME-TECH,3761,Cash
TXN10043,02-08-2023, Expenses,Taxes,Invoice payment,3681,5304,1623,Finance,SCEPTER,3631,Credit Card
TXN10044,29-06-2023, Revenue,Miscellaneous,Service charge,433,8321,7888,Operations,PRIME-TECH,3315,Bank Transfer
TXN10045,06-09-2024, Revenue,Loans,Loan repayment,1338,5373,4035,Operations,ASCEND,2392,Cash
TXN10046,29-03-2025,Assets,Sales Revenue,Service charge,379,8295,7916,Sales,GOOGLE,2963,Bank Transfer
TXN10047,20-06-2024, Liabilities,Taxes,Service charge,1965,5309,3344,Operations,PRIME-TECH,2179,Bank Transfer
TXN10048,16-05-2023, Liabilities,Marketing,Monthly payment,3984,9005,5021,Operations,GOOGLE,2816,Cash
TXN10049,21-04-2024,Assets,Loans,Loan repayment,1548,7242,5694,Finance,PRIME-TECH,2097,Cash
TXN10050,28-09-2024, Revenue,Marketing,Service charge,1826,6881,5055,Operations,SCEPTER,3545,Credit Card
TXN10051,08-05-2023,Assets,Miscellaneous,Invoice payment,4231,6835,2604,Operations,ASCEND,3236,Cash
TXN10052,26-08-2023, Revenue,Miscellaneous,Service charge,3030,7200,4170,Finance,ASCEND,3728,Cash
TXN10053,10-06-2023, Liabilities, Rent,Invoice payment,1177,5967,4790,Sales,ASCEND,3750,Cash
TXN10054,28-04-2024, Liabilities,Utilities,Loan repayment,2161,6925,4764,Finance,PRIME-TECH,2495,Bank Transfer
TXN10055,19-02-2025,Assets,Marketing,Loan repayment,2505,2277,-228,Operations,GOOGLE,2639,Credit Card
TXN10056,04-12-2023,Assets,Marketing,Invoice payment,4922,9518,4596,HR,PRIME-TECH,2015,Cash
TXN10057,02-11-2024, Liabilities,Taxes,Invoice payment,3212,8491,5279,HR,SCEPTER,2517,Credit Card
TXN10058,05-01-2025,Assets,Sales Revenue,Service charge,3228,6393,3165,HR,ASCEND,2924,Credit Card
TXN10059,11-11-2023, Revenue,Payroll,Loan repayment,4924,5020,96,HR,ASCEND,2851,Cash
TXN10060,26-03-2025,Assets, Rent,Invoice payment,2425,2842,417,Sales,GOOGLE,2801,Bank Transfer
TXN10061,20-12-2023, Liabilities,Utilities,Invoice payment,450,2191,1741,HR,ASCEND,3363,Cash
TXN10062,23-05-2023, Expenses,Miscellaneous,Service charge,546,9179,8633,HR,GOOGLE,2540,Cash
TXN10063,30-07-2024, Revenue, Rent,Service charge,4775,5843,1068,HR,ASCEND,2329,Bank Transfer
TXN10064,08-01-2025,Assets,Utilities,Monthly payment,3779,3100,-679,Finance,GOOGLE,2494,Bank Transfer
TXN10065,08-09-2024, Expenses, Rent,Invoice payment,857,2335,1478,Operations,ASCEND,2478,Cash
TXN10066,22-02-2024, Revenue,Payroll,Service charge,1889,7517,5628,Finance,PRIME-TECH,2291,Cash
TXN10067,16-06-2023, Expenses,Loans,Invoice payment,2084,4590,2506,Operations,SCEPTER,3555,Cash
TXN10068,03-11-2024, Liabilities,Loans,Monthly payment,3132,4341,1209,HR,ASCEND,3618,Cash
TXN10069,29-07-2023, Expenses,Marketing,Service charge,4588,6002,1414,HR,PRIME-TECH,2197,Cash
TXN10070,20-09-2023, Expenses,Utilities,Invoice payment,1528,7542,6014,Finance,SCEPTER,2158,Credit Card
TXN10071,23-08-2024,Assets,Payroll,Loan repayment,957,9132,8175,HR,GOOGLE,2943,Credit Card
TXN10072,01-08-2024, Liabilities,Taxes,Service charge,3042,8876,5834,Sales,PRIME-TECH,2714,Credit Card
TXN10073,28-04-2023, Expenses,Payroll,Service charge,4603,4373,-230,Sales,GOOGLE,3699,Bank Transfer
TXN10074,08-08-2024, Expenses,Payroll,Service charge,3473,7845,4372,HR,SCEPTER,3592,Cash
TXN10075,27-11-2024,Assets,Sales Revenue,Invoice payment,4606,3366,-1240,HR,SCEPTER,3351,Bank Transfer
TXN10076,17-10-2024, Expenses,Marketing,Service charge,1464,7054,5590,HR,PRIME-TECH,3632,Cash
TXN10077,25-08-2024, Expenses,Utilities,Service charge,1404,6840,5436,Sales,ASCEND,2318,Bank Transfer
TXN10078,14-05-2023, Expenses,Sales Revenue,Monthly payment,2737,9145,6408,Sales,GOOGLE,3548,Bank Transfer
TXN10079,27-07-2024, Revenue, Rent,Invoice payment,1850,8376,6526,Operations,GOOGLE,3216,Cash
TXN10080,22-03-2025, Expenses,Utilities,Invoice payment,3382,3295,-87,Finance,GOOGLE,3744,Bank Transfer
TXN10081,15-05-2024, Liabilities,Marketing,Service charge,3179,8642,5463,Sales,GOOGLE,2879,Bank Transfer
TXN10082,23-09-2024,Assets,Sales Revenue,Monthly payment,469,4554,4085,Finance,PRIME-TECH,3624,Cash
TXN10083,15-09-2024, Expenses,Payroll,Monthly payment,2261,4458,2197,Operations,PRIME-TECH,3241,Cash
TXN10084,30-11-2024, Liabilities,Payroll,Loan repayment,4264,2506,-1758,HR,PRIME-TECH,2735,Bank Transfer
TXN10085,19-05-2024, Expenses,Miscellaneous,Invoice payment,3181,4801,1620,Sales,SCEPTER,2309,Credit Card
TXN10086,16-01-2025, Revenue,Marketing,Service charge,4097,8321,4224,HR,SCEPTER,3778,Credit Card
TXN10087,07-09-2023, Expenses,Loans,Service charge,4953,5965,1012,Operations,SCEPTER,2681,Bank Transfer
TXN10088,01-10-2023, Liabilities, Rent,Invoice payment,729,4462,3733,Operations,GOOGLE,3025,Cash
TXN10089,04-09-2024,Assets,Taxes,Invoice payment,397,7700,7303,Operations,SCEPTER,2553,Bank Transfer
TXN10090,31-03-2024, Liabilities,Payroll,Invoice payment,710,8588,7878,HR,PRIME-TECH,3498,Bank Transfer
TXN10091,28-07-2024,Assets, Rent,Invoice payment,4282,9525,5243,Operations,ASCEND,3982,Cash
TXN10092,13-10-2024, Revenue,Loans,Loan repayment,4172,8261,4089,HR,GOOGLE,3806,Bank Transfer
TXN10093,20-03-2025,Assets,Loans,Invoice payment,4792,3247,-1545,Operations,SCEPTER,2510,Cash
TXN10094,31-12-2024, Expenses, Rent,Service charge,881,8928,8047,HR,SCEPTER,3846,Cash
TXN10095,15-06-2023, Expenses,Sales Revenue,Service charge,3367,2205,-1162,Sales,SCEPTER,3527,Credit Card
TXN10096,22-02-2025, Revenue,Loans,Monthly payment,2539,4398,1859,Operations,SCEPTER,3332,Bank Transfer
TXN10097,25-10-2024, Revenue,Utilities,Monthly payment,363,4745,4382,Operations,ASCEND,3409,Credit Card
TXN10098,26-01-2024,Assets,Marketing,Loan repayment,4374,7659,3285,Operations,SCEPTER,3244,Credit Card
TXN10099,12-03-2024, Liabilities,Utilities,Loan repayment,3314,4041,727,Finance,ASCEND,2686,Bank Transfer
TXN10100,19-02-2024, Liabilities,Sales Revenue,Monthly payment,1866,8130,6264,Finance,PRIME-TECH,3046,Bank Transfer
TXN10101,13-04-2023,Assets,Sales Revenue,Invoice payment,2963,3768,805,HR,PRIME-TECH,2231,Cash
TXN10102,25-08-2024, Expenses, Rent,Loan repayment,1065,7714,6649,Sales,PRIME-TECH,2444,Bank Transfer
TXN10103,06-12-2023,Assets,Marketing,Loan repayment,891,4335,3444,Operations,GOOGLE,3051,Credit Card
TXN10104,17-12-2024,Assets,Miscellaneous,Service charge,3916,5732,1816,Finance,SCEPTER,2558,Bank Transfer
TXN10105,08-06-2023,Assets,Payroll,Service charge,1572,4485,2913,Sales,SCEPTER,2331,Bank Transfer
TXN10106,05-04-2023, Revenue,Loans,Invoice payment,901,9743,8842,Sales,GOOGLE,2748,Credit Card
TXN10107,06-02-2025, Liabilities,Payroll,Service charge,2235,8593,6358,Operations,PRIME-TECH,2226,Bank Transfer
TXN10108,20-01-2025,Assets,Sales Revenue,Service charge,4784,7489,2705,Finance,ASCEND,2048,Cash
TXN10109,13-04-2024, Liabilities,Sales Revenue,Loan repayment,1730,3310,1580,Finance,SCEPTER,2193,Bank Transfer
TXN10110,20-09-2024, Expenses,Utilities,Service charge,2933,9184,6251,HR,ASCEND,2534,Credit Card
TXN10111,03-04-2023,Assets, Rent,Service charge,4810,9419,4609,Operations,GOOGLE,2553,Credit Card
TXN10112,06-12-2023, Revenue,Miscellaneous,Loan repayment,461,8138,7677,Sales,GOOGLE,3387,Cash
TXN10113,20-06-2024, Liabilities,Miscellaneous,Loan repayment,4726,4958,232,Finance,GOOGLE,2525,Cash
TXN10114,08-04-2023,Assets,Taxes,Monthly payment,396,9937,9541,Sales,ASCEND,3369,Cash
TXN10115,22-06-2023, Expenses,Sales Revenue,Invoice payment,1729,7595,5866,HR,GOOGLE,3141,Cash
TXN10116,22-02-2025, Expenses,Utilities,Monthly payment,3819,4022,203,Sales,ASCEND,3160,Credit Card
TXN10117,09-06-2023, Expenses,Sales Revenue,Service charge,3183,3957,774,Operations,SCEPTER,2783,Credit Card
TXN10118,10-05-2023, Revenue,Loans,Service charge,4344,5610,1266,HR,ASCEND,2635,Bank Transfer
TXN10119,17-04-2024, Liabilities, Rent,Invoice payment,512,2012,1500,Operations,GOOGLE,3775,Credit Card
TXN10120,07-05-2024, Revenue,Loans,Loan repayment,978,9312,8334,Finance,GOOGLE,2720,Bank Transfer
TXN10121,21-05-2024, Liabilities,Sales Revenue,Invoice payment,1359,5667,4308,HR,SCEPTER,2029,Cash
TXN10122,17-06-2024, Revenue,Loans,Service charge,2051,9922,7871,Operations,ASCEND,2155,Bank Transfer
TXN10123,17-09-2024,Assets,Miscellaneous,Loan repayment,2771,6674,3903,Sales,PRIME-TECH,3792,Bank Transfer
TXN10124,29-01-2024, Revenue,Miscellaneous,Service charge,1545,8075,6530,Finance,PRIME-TECH,2658,Credit Card
TXN10125,07-08-2024, Expenses,Utilities,Invoice payment,3758,4415,657,Operations,SCEPTER,3754,Credit Card
TXN10126,31-05-2024, Expenses,Taxes,Monthly payment,2018,3489,1471,Operations,GOOGLE,2920,Bank Transfer
TXN10127,12-01-2024, Expenses,Utilities,Monthly payment,1329,6091,4762,Sales,PRIME-TECH,3943,Cash
TXN10128,16-03-2025, Revenue,Loans,Service charge,2831,8461,5630,HR,SCEPTER,2079,Credit Card
TXN10129,29-10-2023, Liabilities, Rent,Invoice payment,3759,4925,1166,HR,GOOGLE,2403,Cash
TXN10130,09-11-2023, Expenses,Payroll,Invoice payment,2144,2884,740,Operations,PRIME-TECH,2400,Cash
TXN10131,20-02-2025, Revenue,Taxes,Loan repayment,1604,4397,2793,Operations,PRIME-TECH,2530,Credit Card
TXN10132,01-07-2023, Liabilities,Payroll,Monthly payment,675,4503,3828,Operations,SCEPTER,3609,Cash
TXN10133,15-01-2024, Liabilities,Marketing,Monthly payment,3465,5988,2523,Finance,ASCEND,3033,Credit Card
TXN10134,28-05-2024, Revenue,Utilities,Monthly payment,933,8518,7585,Sales,GOOGLE,3558,Credit Card
TXN10135,26-06-2024,Assets, Rent,Loan repayment,495,4582,4087,Finance,SCEPTER,3191,Cash
TXN10136,17-09-2023,Assets,Marketing,Service charge,1133,6931,5798,Sales,ASCEND,2866,Bank Transfer
TXN10137,11-09-2024,Assets,Miscellaneous,Monthly payment,3286,3484,198,Finance,GOOGLE,2430,Cash
TXN10138,26-08-2024, Expenses,Sales Revenue,Loan repayment,3480,4866,1386,Sales,ASCEND,2705,Credit Card
TXN10139,30-01-2025, Liabilities,Utilities,Service charge,4057,7109,3052,Sales,SCEPTER,3895,Cash
TXN10140,01-10-2024, Expenses,Loans,Loan repayment,1222,5906,4684,HR,GOOGLE,2818,Credit Card
TXN10141,03-10-2024, Revenue,Marketing,Invoice payment,4735,4328,-407,HR,PRIME-TECH,3323,Credit Card
TXN10142,04-12-2024,Assets,Sales Revenue,Loan repayment,1533,9295,7762,Operations,ASCEND,2805,Bank Transfer
TXN10143,28-04-2023, Liabilities,Taxes,Service charge,1447,9276,7829,Operations,SCEPTER,3476,Credit Card
TXN10144,19-10-2024, Revenue,Taxes,Service charge,2250,4349,2099,Operations,SCEPTER,3658,Cash
TXN10145,14-10-2023, Revenue,Utilities,Invoice payment,1591,7945,6354,Operations,PRIME-TECH,3872,Cash
TXN10146,27-05-2023, Expenses, Rent,Service charge,1951,7173,5222,Finance,SCEPTER,3896,Cash
TXN10147,01-05-2023, Liabilities,Utilities,Loan repayment,4131,4031,-100,Finance,PRIME-TECH,3085,Cash
TXN10148,10-11-2024,Assets,Miscellaneous,Invoice payment,1397,6187,4790,Operations,PRIME-TECH,2651,Cash
TXN10149,06-09-2024, Revenue,Sales Revenue,Service charge,1994,2448,454,Finance,GOOGLE,2022,Bank Transfer
TXN10150,01-05-2024,Assets,Loans,Service charge,4462,7708,3246,Operations,PRIME-TECH,3888,Cash
TXN10151,24-06-2023, Revenue,Taxes,Monthly payment,2115,5068,2953,Finance,PRIME-TECH,3626,Credit Card
TXN10152,04-06-2023, Expenses,Payroll,Loan repayment,3268,2985,-283,HR,PRIME-TECH,2290,Bank Transfer
TXN10153,30-06-2023, Revenue,Miscellaneous,Invoice payment,2492,7372,4880,Sales,SCEPTER,2040,Bank Transfer
TXN10154,19-05-2024, Expenses, Rent,Loan repayment,1224,8804,7580,HR,SCEPTER,3139,Bank Transfer
TXN10155,25-11-2024, Expenses,Utilities,Loan repayment,2200,7336,5136,HR,GOOGLE,2011,Cash
TXN10156,06-06-2023,Assets,Miscellaneous,Monthly payment,4374,9333,4959,Finance,ASCEND,2716,Cash
TXN10157,25-12-2024, Expenses,Taxes,Monthly payment,1652,9674,8022,Operations,PRIME-TECH,3329,Cash
TXN10158,09-04-2023,Assets,Marketing,Service charge,1332,6938,5606,Finance,GOOGLE,3140,Credit Card
TXN10159,10-03-2025, Liabilities,Loans,Loan repayment,2740,9324,6584,Finance,GOOGLE,3008,Credit Card
TXN10160,20-10-2024, Liabilities,Utilities,Loan repayment,1541,6655,5114,Operations,PRIME-TECH,2791,Bank Transfer
TXN10161,25-12-2023, Liabilities, Rent,Service charge,535,3441,2906,Sales,SCEPTER,2374,Cash
TXN10162,08-11-2024, Revenue,Marketing,Invoice payment,897,9423,8526,Finance,PRIME-TECH,3261,Bank Transfer
TXN10163,04-06-2023, Liabilities,Loans,Monthly payment,875,3344,2469,Operations,GOOGLE,2684,Bank Transfer
TXN10164,28-03-2024, Revenue, Rent,Loan repayment,3605,8511,4906,Operations,PRIME-TECH,2501,Credit Card
TXN10165,15-09-2024, Expenses,Marketing,Service charge,2595,8121,5526,Sales,PRIME-TECH,2076,Credit Card
TXN10166,12-08-2023, Revenue,Payroll,Loan repayment,4922,3598,-1324,Operations,PRIME-TECH,3063,Bank Transfer
TXN10167,15-10-2023, Expenses,Taxes,Invoice payment,4537,4401,-136,HR,ASCEND,2768,Credit Card
TXN10168,17-03-2024, Expenses,Utilities,Invoice payment,4952,2102,-2850,Sales,SCEPTER,3893,Credit Card
TXN10169,03-09-2023, Expenses,Miscellaneous,Service charge,1070,4733,3663,HR,ASCEND,3961,Credit Card
TXN10170,27-11-2023,Assets,Sales Revenue,Invoice payment,1486,8722,7236,Sales,GOOGLE,3851,Cash
TXN10171,20-11-2024, Expenses,Loans,Loan repayment,4929,7267,2338,Finance,GOOGLE,2781,Cash
TXN10172,01-04-2024, Liabilities,Miscellaneous,Loan repayment,660,9194,8534,Sales,PRIME-TECH,3349,Credit Card
TXN10173,30-01-2024, Liabilities,Miscellaneous,Loan repayment,3777,7246,3469,Finance,GOOGLE,3606,Credit Card
TXN10174,18-02-2024,Assets,Marketing,Service charge,4531,7888,3357,HR,SCEPTER,2666,Bank Transfer
TXN10175,16-04-2023,Assets, Rent,Monthly payment,2093,5531,3438,Finance,GOOGLE,3915,Bank Transfer
TXN10176,04-08-2023,Assets,Taxes,Invoice payment,2017,3547,1530,Finance,PRIME-TECH,2416,Cash
TXN10177,24-09-2024, Revenue,Miscellaneous,Loan repayment,4392,2782,-1610,Operations,GOOGLE,2205,Bank Transfer
TXN10178,14-09-2023, Expenses,Payroll,Monthly payment,1855,2435,580,HR,PRIME-TECH,2647,Cash
TXN10179,08-02-2025, Revenue,Utilities,Service charge,1925,4124,2199,Finance,ASCEND,3691,Bank Transfer
TXN10180,29-02-2024, Expenses,Taxes,Invoice payment,3035,2401,-634,Finance,PRIME-TECH,3623,Credit Card
TXN10181,02-04-2023, Expenses, Rent,Loan repayment,2916,2586,-330,HR,ASCEND,3494,Bank Transfer
TXN10182,21-06-2024, Liabilities,Utilities,Invoice payment,4497,7260,2763,Finance,GOOGLE,3919,Cash
TXN10183,12-05-2024,Assets,Sales Revenue,Service charge,4410,3458,-952,Finance,ASCEND,3907,Credit Card
TXN10184,06-08-2024, Revenue,Utilities,Loan repayment,2586,2125,-461,HR,PRIME-TECH,3223,Cash
TXN10185,23-03-2025, Revenue,Utilities,Monthly payment,3584,5845,2261,Sales,SCEPTER,2992,Bank Transfer
TXN10186,16-08-2023, Liabilities,Payroll,Monthly payment,2181,9404,7223,Sales,GOOGLE,2857,Bank Transfer
TXN10187,10-12-2023, Revenue,Sales Revenue,Invoice payment,373,2900,2527,Sales,GOOGLE,3413,Cash
TXN10188,15-07-2024,Assets,Sales Revenue,Invoice payment,3262,4090,828,Finance,GOOGLE,2465,Credit Card
TXN10189,20-03-2025, Liabilities,Payroll,Service charge,3020,3306,286,HR,ASCEND,3785,Bank Transfer
TXN10190,27-03-2025, Revenue,Utilities,Loan repayment,1331,9492,8161,HR,GOOGLE,2559,Bank Transfer
TXN10191,18-05-2023, Liabilities,Taxes,Invoice payment,4443,2772,-1671,Sales,ASCEND,2570,Bank Transfer
TXN10192,04-08-2023, Revenue,Sales Revenue,Service charge,4013,5460,1447,Sales,GOOGLE,3355,Bank Transfer
TXN10193,22-07-2024,Assets, Rent,Monthly payment,4915,4349,-566,HR,PRIME-TECH,3603,Bank Transfer
TXN10194,15-05-2023, Liabilities,Payroll,Loan repayment,2294,7560,5266,Operations,SCEPTER,3414,Credit Card
TXN10195,16-09-2024,Assets,Payroll,Invoice payment,4667,9020,4353,Finance,PRIME-TECH,2564,Bank Transfer
TXN10196,06-08-2024, Liabilities, Rent,Invoice payment,4496,7225,2729,Operations,SCEPTER,2765,Cash
TXN10197,04-10-2023, Expenses,Taxes,Monthly payment,780,3170,2390,Finance,GOOGLE,2279,Credit Card
TXN10198,12-09-2023, Liabilities,Miscellaneous,Invoice payment,1221,2763,1542,Sales,PRIME-TECH,2916,Credit Card
TXN10199,19-09-2024, Revenue,Sales Revenue,Monthly payment,815,7410,6595,Sales,PRIME-TECH,2436,Credit Card
TXN10200,14-05-2024, Expenses,Sales Revenue,Invoice payment,536,9664,9128,HR,PRIME-TECH,3133,Bank Transfer
TXN10201,16-02-2025,Assets,Marketing,Invoice payment,4967,5823,856,Operations,GOOGLE,3878,Cash
TXN10202,14-10-2023, Revenue,Sales Revenue,Invoice payment,3716,8048,4332,Sales,PRIME-TECH,2119,Cash
TXN10203,29-02-2024, Expenses,Utilities,Invoice payment,3091,4003,912,Finance,SCEPTER,3858,Cash
TXN10204,14-10-2023, Expenses,Miscellaneous,Service charge,778,4542,3764,HR,SCEPTER,3982,Credit Card
TXN10205,29-05-2024,Assets,Miscellaneous,Monthly payment,3760,3941,181,Finance,SCEPTER,2428,Credit Card
TXN10206,31-05-2023, Liabilities,Utilities,Loan repayment,1777,3895,2118,Sales,SCEPTER,3371,Credit Card
TXN10207,24-05-2024, Liabilities,Loans,Loan repayment,4742,6379,1637,HR,GOOGLE,2256,Bank Transfer
TXN10208,12-05-2024,Assets,Loans,Service charge,1136,5853,4717,Operations,SCEPTER,3933,Credit Card
TXN10209,06-01-2025, Expenses,Taxes,Service charge,2170,6192,4022,Operations,PRIME-TECH,2400,Cash
TXN10210,01-08-2024, Liabilities,Miscellaneous,Loan repayment,3940,3304,-636,Sales,ASCEND,3265,Credit Card
TXN10211,05-10-2023, Revenue,Taxes,Service charge,948,8308,7360,Finance,ASCEND,3496,Bank Transfer
TXN10212,09-12-2024, Liabilities,Payroll,Loan repayment,1106,9414,8308,Sales,PRIME-TECH,3153,Cash
TXN10213,12-10-2024, Revenue,Miscellaneous,Monthly payment,4388,7268,2880,Operations,PRIME-TECH,2598,Credit Card
TXN10214,29-10-2024, Expenses,Sales Revenue,Monthly payment,1000,9847,8847,HR,PRIME-TECH,3849,Bank Transfer
TXN10215,12-12-2024, Revenue,Marketing,Invoice payment,1062,5805,4743,HR,SCEPTER,3993,Credit Card
TXN10216,02-11-2023, Revenue,Payroll,Invoice payment,3506,6267,2761,Operations,SCEPTER,2904,Bank Transfer
TXN10217,20-08-2023, Revenue,Marketing,Invoice payment,1705,8710,7005,Finance,PRIME-TECH,3078,Cash
TXN10218,23-03-2025, Liabilities,Payroll,Monthly payment,875,4753,3878,Finance,SCEPTER,3326,Credit Card
TXN10219,17-12-2023, Revenue, Rent,Invoice payment,3333,7958,4625,Finance,ASCEND,3903,Bank Transfer
TXN10220,06-01-2024, Expenses,Marketing,Invoice payment,556,6861,6305,Sales,PRIME-TECH,2615,Credit Card
TXN10221,01-02-2024,Assets,Payroll,Invoice payment,3523,6435,2912,Sales,PRIME-TECH,2561,Cash
TXN10222,21-11-2023, Liabilities,Payroll,Loan repayment,844,7939,7095,Operations,SCEPTER,2573,Cash
TXN10223,16-03-2025, Liabilities, Rent,Loan repayment,3418,6894,3476,Operations,GOOGLE,3080,Credit Card
TXN10224,15-03-2024, Liabilities,Marketing,Invoice payment,2961,3276,315,Finance,GOOGLE,2601,Bank Transfer
TXN10225,30-10-2024, Revenue,Sales Revenue,Loan repayment,1490,8469,6979,Finance,GOOGLE,3493,Bank Transfer
TXN10226,21-10-2023, Revenue,Sales Revenue,Monthly payment,1014,2807,1793,Operations,GOOGLE,2160,Bank Transfer
TXN10227,17-10-2024, Expenses,Utilities,Monthly payment,4835,6827,1992,Operations,PRIME-TECH,3738,Credit Card
TXN10228,10-02-2025,Assets,Marketing,Loan repayment,4274,7519,3245,Finance,PRIME-TECH,2965,Bank Transfer
TXN10229,25-08-2023,Assets,Taxes,Loan repayment,2680,5740,3060,Finance,SCEPTER,2351,Cash
TXN10230,22-06-2023, Revenue,Payroll,Service charge,2466,6645,4179,Operations,GOOGLE,2300,Cash
TXN10231,11-01-2024,Assets,Payroll,Service charge,993,8090,7097,Sales,GOOGLE,3743,Cash
TXN10232,12-03-2024, Liabilities,Sales Revenue,Monthly payment,2536,6754,4218,HR,SCEPTER,2564,Credit Card
TXN10233,20-06-2023, Liabilities, Rent,Invoice payment,4214,7310,3096,HR,PRIME-TECH,2958,Bank Transfer
TXN10234,10-03-2024, Revenue,Utilities,Loan repayment,3083,7742,4659,Finance,SCEPTER,3457,Cash
TXN10235,28-01-2024, Expenses,Taxes,Monthly payment,2208,6877,4669,HR,SCEPTER,3529,Credit Card
